fit_session,model,head,columns,nonzero_exact,nonzero_above_1e_12,interaction_nonzero_exact,intercept_or_constant
2020-09-11,M0,mu5,0,0,0,0,-0.002693269176028602
2020-09-11,M0,q90,0,0,0,0,0.08639928837805676
2020-09-11,M0,p10,0,0,0,0,0.0885286783042394
2020-09-11,M1,mu5,19,19,19,0,-0.0026932691760286
2020-09-11,M1,q90,19,7,7,0,0.08842190014351943
2020-09-11,M1,p10,19,19,19,0,-2.70297831539164
2020-09-11,M2,mu5,63,63,63,6,-0.002693269176028549
2020-09-11,M2,q90,63,23,23,0,0.06904408473026455
2020-09-11,M2,p10,63,63,63,6,-2.8262639987540132
2020-10-01,M0,mu5,0,0,0,0,-0.0019097824549230554
2020-10-01,M0,q90,0,0,0,0,0.08502255454467228
2020-10-01,M0,p10,0,0,0,0,0.0855421686746988
2020-10-01,M1,mu5,19,19,19,0,-0.0019097824549230565
2020-10-01,M1,q90,19,9,9,0,0.09164323787456519
2020-10-01,M1,p10,19,19,19,0,-2.756088364999303
2020-10-01,M2,mu5,63,63,63,6,-0.0019097824549230843
2020-10-01,M2,q90,63,22,22,0,0.06891584818907828
2020-10-01,M2,p10,63,63,63,6,-2.8882912331325956
2020-11-02,M0,mu5,0,0,0,0,-0.0019929014202893377
2020-11-02,M0,q90,0,0,0,0,0.08574109982226075
2020-11-02,M0,p10,0,0,0,0,0.08810068649885583
2020-11-02,M1,mu5,19,19,19,0,-0.0019929014202893364
2020-11-02,M1,q90,19,8,8,0,0.0868538903306447
2020-11-02,M1,p10,19,19,19,0,-2.7310041665651705
2020-11-02,M2,mu5,63,63,63,6,-0.001992901420289334
2020-11-02,M2,q90,63,15,15,0,0.07336237511526975
2020-11-02,M2,p10,63,63,63,6,-2.864976903449004
2020-12-01,M0,mu5,0,0,0,0,3.5149001449069826e-05
2020-12-01,M0,q90,0,0,0,0,0.0834032973725217
2020-12-01,M0,p10,0,0,0,0,0.08424507658643327
2020-12-01,M1,mu5,19,19,19,0,3.51490014490897e-05
2020-12-01,M1,q90,19,8,8,0,0.08815145614376016
2020-12-01,M1,p10,19,19,19,0,-2.7709932072475376
2020-12-01,M2,mu5,63,63,63,6,3.514900144913707e-05
2020-12-01,M2,q90,63,14,14,0,0.07112134973929181
2020-12-01,M2,p10,63,63,63,6,-2.8984282902396328
2021-01-04,M0,mu5,0,0,0,0,0.00018410754796133815
2021-01-04,M0,q90,0,0,0,0,0.07946429181511216
2021-01-04,M0,p10,0,0,0,0,0.08037578288100208
2021-01-04,M1,mu5,19,19,19,0,0.00018410754796135268
2021-01-04,M1,q90,19,8,8,0,0.08441273769439914
2021-01-04,M1,p10,19,19,19,0,-2.8235057603476563
2021-01-04,M2,mu5,63,63,63,6,0.0001841075479613637
2021-01-04,M2,q90,63,15,15,0,0.06790149612128318
2021-01-04,M2,p10,63,63,63,6,-2.9390157405719197
2021-02-01,M0,mu5,0,0,0,0,-0.0005794641528337789
2021-02-01,M0,q90,0,0,0,0,0.08066692102744415
2021-02-01,M0,p10,0,0,0,0,0.08333333333333333
2021-02-01,M1,mu5,19,19,19,0,-0.0005794641528337977
2021-02-01,M1,q90,19,9,9,0,0.08664373911060697
2021-02-01,M1,p10,19,19,19,0,-2.735668964869705
2021-02-01,M2,mu5,63,63,63,6,-0.0005794641528337014
2021-02-01,M2,q90,63,16,16,0,0.06780796038510624
2021-02-01,M2,p10,63,63,63,6,-2.8633446711203856
2021-03-01,M0,mu5,0,0,0,0,0.00025857106589178544
2021-03-01,M0,q90,0,0,0,0,0.0808800758873795
2021-03-01,M0,p10,0,0,0,0,0.08413926499032882
2021-03-01,M1,mu5,19,19,19,0,0.00025857106589179395
2021-03-01,M1,q90,19,9,9,0,0.081526068824014
2021-03-01,M1,p10,19,19,19,0,-2.708521867295013
2021-03-01,M2,mu5,63,63,63,6,0.0002585710658918149
2021-03-01,M2,q90,63,17,17,0,0.0712458268901367
2021-03-01,M2,p10,63,63,63,6,-2.84291622959471
2021-04-01,M0,mu5,0,0,0,0,0.0013921927317258995
2021-04-01,M0,q90,0,0,0,0,0.07941429041902784
2021-04-01,M0,p10,0,0,0,0,0.08055555555555556
2021-04-01,M1,mu5,19,19,19,0,0.0013921927317258923
2021-04-01,M1,q90,19,8,8,0,0.08541810115298683
2021-04-01,M1,p10,19,19,19,0,-2.7745469204943403
2021-04-01,M2,mu5,63,63,63,6,0.0013921927317258795
2021-04-01,M2,q90,63,15,15,0,0.07010714289448919
2021-04-01,M2,p10,63,63,63,6,-2.910875913651558
2021-05-03,M0,mu5,0,0,0,0,0.0020798533735113746
2021-05-03,M0,q90,0,0,0,0,0.07439367882353143
2021-05-03,M0,p10,0,0,0,0,0.07754010695187166
2021-05-03,M1,mu5,19,19,19,0,0.0020798533735113815
2021-05-03,M1,q90,19,6,6,0,0.08145345068097325
2021-05-03,M1,p10,19,19,19,0,-2.8263162296210003
2021-05-03,M2,mu5,63,63,63,6,0.002079853373511348
2021-05-03,M2,q90,63,13,13,0,0.06724495318783152
2021-05-03,M2,p10,63,63,63,6,-2.953189842086401
2021-06-01,M0,mu5,0,0,0,0,0.002163535409859372
2021-06-01,M0,q90,0,0,0,0,0.08002745644763787
2021-06-01,M0,p10,0,0,0,0,0.08175559380378658
2021-06-01,M1,mu5,19,19,19,0,0.00216353540985938
2021-06-01,M1,q90,19,6,6,0,0.08435882613732254
2021-06-01,M1,p10,19,19,19,0,-2.7254235008981484
2021-06-01,M2,mu5,63,63,63,6,0.002163535409859423
2021-06-01,M2,q90,63,11,11,0,0.07073007327516756
2021-06-01,M2,p10,63,63,63,6,-2.868153930639594
2021-07-01,M0,mu5,0,0,0,0,0.0028254501910144627
2021-07-01,M0,q90,0,0,0,0,0.07502889301890668
2021-07-01,M0,p10,0,0,0,0,0.07877280265339967
2021-07-01,M1,mu5,19,19,19,0,0.002825450191014448
2021-07-01,M1,q90,19,6,6,0,0.08181510346038139
