fit_session,model,head,column,coefficient,exact_zero,nonzero_but_rounds_to_6dp_zero
2020-09-11,M1,mu5,A01,0.006651555536253522,False,False
2020-09-11,M1,mu5,A02,0.004138830922161061,False,False
2020-09-11,M1,mu5,A03,0.010679378076802032,False,False
2020-09-11,M1,mu5,A04,-0.002051347293665872,False,False
2020-09-11,M1,mu5,A05,-0.002181060385561618,False,False
2020-09-11,M1,mu5,B01,0.0017364913984890303,False,False
2020-09-11,M1,mu5,B02,-0.002000142410365673,False,False
2020-09-11,M1,mu5,B03,-0.007840663626678622,False,False
2020-09-11,M1,mu5,C01,0.001147162288899297,False,False
2020-09-11,M1,mu5,C02,-0.0003156899912257578,False,False
2020-09-11,M1,mu5,C03,0.0007379233936255537,False,False
2020-09-11,M1,mu5,D01,0.0005881644113796866,False,False
2020-09-11,M1,mu5,D02,0.00450374138036851,False,False
2020-09-11,M1,mu5,D03,0.00444379291456379,False,False
2020-09-11,M1,mu5,E01,-0.007258479119980601,False,False
2020-09-11,M1,mu5,F01,-0.0031132928055247764,False,False
2020-09-11,M1,mu5,F02,-0.0005170882060071912,False,False
2020-09-11,M1,mu5,F03,0.0023780378508006213,False,False
2020-09-11,M1,mu5,F04,0.0014800561079602594,False,False
2020-09-11,M1,q90,A01,0.0,True,False
2020-09-11,M1,q90,A02,-0.005581388442491447,False,False
2020-09-11,M1,q90,A03,0.0,True,False
2020-09-11,M1,q90,A04,0.019312932400994968,False,False
2020-09-11,M1,q90,A05,0.0,True,False
2020-09-11,M1,q90,B01,0.0,True,False
2020-09-11,M1,q90,B02,0.0,True,False
2020-09-11,M1,q90,B03,0.047345052636784055,False,False
2020-09-11,M1,q90,C01,0.0,True,False
2020-09-11,M1,q90,C02,0.0,True,False
2020-09-11,M1,q90,C03,0.0,True,False
2020-09-11,M1,q90,D01,0.004398605525770166,False,False
2020-09-11,M1,q90,D02,0.0,True,False
2020-09-11,M1,q90,D03,-0.019605050623479947,False,False
2020-09-11,M1,q90,E01,0.01530667030710488,False,False
2020-09-11,M1,q90,F01,0.015170991450415427,False,False
2020-09-11,M1,q90,F02,0.0,True,False
2020-09-11,M1,q90,F03,0.0,True,False
2020-09-11,M1,q90,F04,0.0,True,False
2020-09-11,M1,p10,A01,-0.2368075768209082,False,False
2020-09-11,M1,p10,A02,-0.17430702903310108,False,False
2020-09-11,M1,p10,A03,-0.4345374423908218,False,False
2020-09-11,M1,p10,A04,0.16602029197196164,False,False
2020-09-11,M1,p10,A05,0.01739244180864909,False,False
2020-09-11,M1,p10,B01,0.10171785982407092,False,False
2020-09-11,M1,p10,B02,0.13517728129448978,False,False
2020-09-11,M1,p10,B03,0.39636813234082613,False,False
2020-09-11,M1,p10,C01,-0.03195395936217386,False,False
2020-09-11,M1,p10,C02,0.09474147803985969,False,False
2020-09-11,M1,p10,C03,0.09117061242915077,False,False
2020-09-11,M1,p10,D01,0.005813054406604059,False,False
2020-09-11,M1,p10,D02,-0.14249851375511255,False,False
2020-09-11,M1,p10,D03,-0.26881750942482235,False,False
2020-09-11,M1,p10,E01,0.3467657721688109,False,False
2020-09-11,M1,p10,F01,0.3340889909698329,False,False
2020-09-11,M1,p10,F02,0.11669448802761123,False,False
2020-09-11,M1,p10,F03,-0.1352527683773637,False,False
2020-09-11,M1,p10,F04,-0.018964849191447468,False,False
2020-09-11,M2,mu5,A01_spline_0,-0.01886269438196679,False,False
2020-09-11,M2,mu5,A01_spline_1,0.0016276142628404234,False,False
2020-09-11,M2,mu5,A01_spline_2,-0.0014835690097986763,False,False
2020-09-11,M2,mu5,A02_spline_0,-0.0004696847093818119,False,False
2020-09-11,M2,mu5,A02_spline_1,0.0011692386155653374,False,False
2020-09-11,M2,mu5,A02_spline_2,0.00906419842735999,False,False
2020-09-11,M2,mu5,A03_spline_0,-0.010504376171723298,False,False
2020-09-11,M2,mu5,A03_spline_1,0.0011159208610402136,False,False
2020-09-11,M2,mu5,A03_spline_2,0.0052868386916477186,False,False
2020-09-11,M2,mu5,A04_spline_0,0.003283056133751277,False,False
2020-09-11,M2,mu5,A04_spline_1,0.0011538783408797054,False,False
2020-09-11,M2,mu5,A04_spline_2,-0.0003988847064003507,False,False
2020-09-11,M2,mu5,A05_spline_0,-0.00028473725857932806,False,False
2020-09-11,M2,mu5,A05_spline_1,0.0027124404823969345,False,False
2020-09-11,M2,mu5,A05_spline_2,-0.003327079347411589,False,False
2020-09-11,M2,mu5,B01_spline_0,-0.004176360490573668,False,False
2020-09-11,M2,mu5,B01_spline_1,-0.001279975478540525,False,False
2020-09-11,M2,mu5,B01_spline_2,-0.0003101189788236713,False,False
2020-09-11,M2,mu5,B02_spline_0,0.0006575535036610555,False,False
2020-09-11,M2,mu5,B02_spline_1,0.0039774590509061595,False,False
2020-09-11,M2,mu5,B02_spline_2,0.0012861071893231798,False,False
2020-09-11,M2,mu5,B03_spline_0,0.005470036231893441,False,False
2020-09-11,M2,mu5,B03_spline_1,0.0023096405394920565,False,False
2020-09-11,M2,mu5,B03_spline_2,0.0007667679282248319,False,False
2020-09-11,M2,mu5,C01_spline_0,0.0005855972397181094,False,False
2020-09-11,M2,mu5,C01_spline_1,-0.004851526726730693,False,False
2020-09-11,M2,mu5,C01_spline_2,-0.00195361953816028,False,False
2020-09-11,M2,mu5,C02_spline_0,0.004379974662434189,False,False
2020-09-11,M2,mu5,C02_spline_1,-0.00026226850945289953,False,False
2020-09-11,M2,mu5,C02_spline_2,-0.0061434327152080186,False,False
2020-09-11,M2,mu5,C03_spline_0,-0.005675618222587181,False,False
2020-09-11,M2,mu5,C03_spline_1,-0.0028254972896766713,False,False
2020-09-11,M2,mu5,C03_spline_2,0.0050506511945973805,False,False
2020-09-11,M2,mu5,D01_spline_0,-0.0045145324470726965,False,False
2020-09-11,M2,mu5,D01_spline_1,0.003900738075838785,False,False
2020-09-11,M2,mu5,D01_spline_2,-0.006991978990600743,False,False
2020-09-11,M2,mu5,D02_spline_0,0.000328255484805336,False,False
2020-09-11,M2,mu5,D02_spline_1,-0.00435792613570344,False,False
2020-09-11,M2,mu5,D02_spline_2,-0.0006483581666381437,False,False
2020-09-11,M2,mu5,D03_spline_0,-0.0010977346427917013,False,False
2020-09-11,M2,mu5,D03_spline_1,-0.002157459920664911,False,False
2020-09-11,M2,mu5,D03_spline_2,0.001320894865088157,False,False
2020-09-11,M2,mu5,E01_spline_0,0.00027803424986713255,False,False
2020-09-11,M2,mu5,E01_spline_1,0.008231721333850896,False,False
2020-09-11,M2,mu5,E01_spline_2,-0.00503697295247881,False,False
2020-09-11,M2,mu5,F01_spline_0,-3.886777382656288e-05,False,False
2020-09-11,M2,mu5,F01_spline_1,0.0045038828015445485,False,False
2020-09-11,M2,mu5,F01_spline_2,-0.0033185564785095357,False,False
2020-09-11,M2,mu5,F02_spline_0,0.00582597631418596,False,False
2020-09-11,M2,mu5,F02_spline_1,0.000149672449708381,False,False
2020-09-11,M2,mu5,F02_spline_2,0.00395828907588273,False,False
2020-09-11,M2,mu5,F03_spline_0,7.07119525674752e-05,False,False
2020-09-11,M2,mu5,F03_spline_1,-0.0020353829546470997,False,False
2020-09-11,M2,mu5,F03_spline_2,0.0018822894877301003,False,False
2020-09-11,M2,mu5,F04_spline_0,-0.003597876728120973,False,False
2020-09-11,M2,mu5,F04_spline_1,0.0026673972965093155,False,False
2020-09-11,M2,mu5,F04_spline_2,-0.005811829135400593,False,False
2020-09-11,M2,mu5,I01,-0.0020938364817966884,False,False
2020-09-11,M2,mu5,I02,0.0018298775264035086,False,False
2020-09-11,M2,mu5,I03,0.006202839173192969,False,False
2020-09-11,M2,mu5,I04,-0.003800471614791142,False,False
2020-09-11,M2,mu5,I05,-0.007240632490286567,False,False
2020-09-11,M2,mu5,I06,-0.00668799720060591,False,False
2020-09-11,M2,q90,A01_spline_0,0.03888678018540167,False,False
2020-09-11,M2,q90,A01_spline_1,0.0,True,False
2020-09-11,M2,q90,A01_spline_2,0.0,True,False
2020-09-11,M2,q90,A02_spline_0,0.0,True,False
2020-09-11,M2,q90,A02_spline_1,0.0,True,False
2020-09-11,M2,q90,A02_spline_2,-0.010244985292082742,False,False
2020-09-11,M2,q90,A03_spline_0,0.011292112495984333,False,False
2020-09-11,M2,q90,A03_spline_1,0.0,True,False
2020-09-11,M2,q90,A03_spline_2,-0.0029390682878219004,False,False
2020-09-11,M2,q90,A04_spline_0,0.0,True,False
2020-09-11,M2,q90,A04_spline_1,0.0,True,False
2020-09-11,M2,q90,A04_spline_2,0.0,True,False
2020-09-11,M2,q90,A05_spline_0,-0.001763743214874062,False,False
2020-09-11,M2,q90,A05_spline_1,0.0,True,False
2020-09-11,M2,q90,A05_spline_2,0.0027303401636928682,False,False
2020-09-11,M2,q90,B01_spline_0,0.006733469830797472,False,False
2020-09-11,M2,q90,B01_spline_1,0.0,True,False
2020-09-11,M2,q90,B01_spline_2,0.0,True,False
2020-09-11,M2,q90,B02_spline_0,-0.00028951533289720054,False,False
2020-09-11,M2,q90,B02_spline_1,-0.006021689325329588,False,False
2020-09-11,M2,q90,B02_spline_2,0.0,True,False
2020-09-11,M2,q90,B03_spline_0,-0.009995636675915767,False,False
2020-09-11,M2,q90,B03_spline_1,0.0,True,False
2020-09-11,M2,q90,B03_spline_2,0.0,True,False
2020-09-11,M2,q90,C01_spline_0,-0.00925016091270642,False,False
2020-09-11,M2,q90,C01_spline_1,0.0,True,False
2020-09-11,M2,q90,C01_spline_2,0.0,True,False
2020-09-11,M2,q90,C02_spline_0,-0.001441127300096519,False,False
2020-09-11,M2,q90,C02_spline_1,0.0,True,False
2020-09-11,M2,q90,C02_spline_2,0.008534598216901196,False,False
2020-09-11,M2,q90,C03_spline_0,0.0,True,False
2020-09-11,M2,q90,C03_spline_1,0.0,True,False
2020-09-11,M2,q90,C03_spline_2,0.0,True,False
2020-09-11,M2,q90,D01_spline_0,0.0,True,False
2020-09-11,M2,q90,D01_spline_1,0.0,True,False
2020-09-11,M2,q90,D01_spline_2,0.009544774029946572,False,False
2020-09-11,M2,q90,D02_spline_0,0.0,True,False
2020-09-11,M2,q90,D02_spline_1,0.0,True,False
2020-09-11,M2,q90,D02_spline_2,0.0,True,False
2020-09-11,M2,q90,D03_spline_0,0.003934109201013017,False,False
2020-09-11,M2,q90,D03_spline_1,0.0,True,False
2020-09-11,M2,q90,D03_spline_2,0.0,True,False
2020-09-11,M2,q90,E01_spline_0,-0.0012624869207351547,False,False
2020-09-11,M2,q90,E01_spline_1,0.0,True,False
2020-09-11,M2,q90,E01_spline_2,0.012284333188314466,False,False
2020-09-11,M2,q90,F01_spline_0,-0.003906805328406928,False,False
2020-09-11,M2,q90,F01_spline_1,-0.0031107678549451116,False,False
2020-09-11,M2,q90,F01_spline_2,0.015739935190736475,False,False
2020-09-11,M2,q90,F02_spline_0,-0.0035055617996227312,False,False
2020-09-11,M2,q90,F02_spline_1,0.0,True,False
2020-09-11,M2,q90,F02_spline_2,0.0,True,False
2020-09-11,M2,q90,F03_spline_0,0.0,True,False
2020-09-11,M2,q90,F03_spline_1,0.0,True,False
2020-09-11,M2,q90,F03_spline_2,0.0,True,False
2020-09-11,M2,q90,F04_spline_0,0.010080962582148604,False,False
2020-09-11,M2,q90,F04_spline_1,0.0,True,False
2020-09-11,M2,q90,F04_spline_2,0.0007784841422868188,False,False
2020-09-11,M2,q90,I01,0.0,True,False
2020-09-11,M2,q90,I02,0.0,True,False
2020-09-11,M2,q90,I03,0.0,True,False
2020-09-11,M2,q90,I04,0.0,True,False
2020-09-11,M2,q90,I05,0.0,True,False
2020-09-11,M2,q90,I06,0.0,True,False
2020-09-11,M2,p10,A01_spline_0,0.4774165356343136,False,False
2020-09-11,M2,p10,A01_spline_1,-0.04881231917482913,False,False
2020-09-11,M2,p10,A01_spline_2,0.19918900374469523,False,False
2020-09-11,M2,p10,A02_spline_0,-0.07485228570690453,False,False
2020-09-11,M2,p10,A02_spline_1,0.09945058070910667,False,False
2020-09-11,M2,p10,A02_spline_2,-0.2715912953579857,False,False
2020-09-11,M2,p10,A03_spline_0,0.508487049731014,False,False
2020-09-11,M2,p10,A03_spline_1,0.04584287488581768,False,False
2020-09-11,M2,p10,A03_spline_2,-0.15184615408105503,False,False
2020-09-11,M2,p10,A04_spline_0,-0.10258711425492394,False,False
2020-09-11,M2,p10,A04_spline_1,-0.0793375252288325,False,False
2020-09-11,M2,p10,A04_spline_2,0.05291251278921511,False,False
2020-09-11,M2,p10,A05_spline_0,-0.13013616728356844,False,False
