as_of_session,decision_session,simulation_decision_at,execution_at,computed_at_utc,model,fit_id,forecast_available,forecast_status,mu5_raw,mu5,q90_raw,q90,p10_logit,p10,mu_projected,q_projected,outside_feature_count,outside_feature_ids,max_outside_distance_training_sd,R5,L5,Y10,score_observed,score_status,label_end_session,label_matures_at,label_available_at,probability_rank
2020-09-10,2020-09-11,2020-09-11T19:00:00+00:00,2020-09-11T20:00:00+00:00,2026-09-07T01:33:33.982192+00:00,M0,2020-09-11_M0,True,FORECAST_AVAILABLE,-0.002693269176028602,-0.002693269176028602,0.08639928837805676,0.08639928837805676,-2.331733582708463,0.0885286783042394,False,False,,,,0.0230440262711624,0.0,0.0,True,DEVELOPMENT_LABEL_COMPLETE,2020-09-18,2020-09-18T20:00:00+00:00,2020-09-21T19:00:00+00:00,1
2020-09-11,2020-09-14,2020-09-14T19:00:00+00:00,2020-09-14T20:00:00+00:00,2026-09-07T01:33:33.984625+00:00,M0,2020-09-11_M0,True,FORECAST_AVAILABLE,-0.002693269176028602,-0.002693269176028602,0.08639928837805676,0.08639928837805676,-2.331733582708463,0.0885286783042394,False,False,,,,-0.0042276694790561,0.0042276694790561,0.0,True,DEVELOPMENT_LABEL_COMPLETE,2020-09-21,2020-09-21T20:00:00+00:00,2020-09-22T19:00:00+00:00,1
2020-09-14,2020-09-15,2020-09-15T19:00:00+00:00,2020-09-15T20:00:00+00:00,2026-09-07T01:33:33.986930+00:00,M0,2020-09-11_M0,True,FORECAST_AVAILABLE,-0.002693269176028602,-0.002693269176028602,0.08639928837805676,0.08639928837805676,-2.331733582708463,0.0885286783042394,False,False,,,,-0.0078917357077064,0.0078917357077064,0.0,True,DEVELOPMENT_LABEL_COMPLETE,2020-09-22,2020-09-22T20:00:00+00:00,2020-09-23T19:00:00+00:00,1
2020-09-15,2020-09-16,2020-09-16T19:00:00+00:00,2020-09-16T20:00:00+00:00,2026-09-07T01:33:33.989262+00:00,M0,2020-09-11_M0,True,FORECAST_AVAILABLE,-0.002693269176028602,-0.002693269176028602,0.08639928837805676,0.08639928837805676,-2.331733582708463,0.0885286783042394,False,False,,,,-0.0354429915210706,0.0354429915210706,0.0,True,DEVELOPMENT_LABEL_COMPLETE,2020-09-23,2020-09-23T20:00:00+00:00,2020-09-24T19:00:00+00:00,1
2020-09-16,2020-09-17,2020-09-17T19:00:00+00:00,2020-09-17T20:00:00+00:00,2026-09-07T01:33:33.991382+00:00,M0,2020-09-11_M0,True,FORECAST_AVAILABLE,-0.002693269176028602,-0.002693269176028602,0.08639928837805676,0.08639928837805676,-2.331733582708463,0.0885286783042394,False,False,,,,-0.0367278727118052,0.0459097878193974,0.0,True,DEVELOPMENT_LABEL_COMPLETE,2020-09-24,2020-09-24T20:00:00+00:00,2020-09-25T19:00:00+00:00,1
2020-09-17,2020-09-18,2020-09-18T19:00:00+00:00,2020-09-18T20:00:00+00:00,2026-09-07T01:33:33.993549+00:00,M0,2020-09-11_M0,True,FORECAST_AVAILABLE,-0.002693269176028602,-0.002693269176028602,0.08639928837805676,0.08639928837805676,-2.331733582708463,0.0885286783042394,False,False,,,,-0.0250277456644946,0.0464404396958511,0.0,True,DEVELOPMENT_LABEL_COMPLETE,2020-09-25,2020-09-25T20:00:00+00:00,2020-09-28T19:00:00+00:00,1
2020-09-18,2020-09-21,2020-09-21T19:00:00+00:00,2020-09-21T20:00:00+00:00,2026-09-07T01:33:33.995782+00:00,M0,2020-09-11_M0,True,FORECAST_AVAILABLE,-0.002693269176028602,-0.002693269176028602,0.08639928837805676,0.08639928837805676,-2.331733582708463,0.0885286783042394,False,False,,,,-0.0059440387287309,0.0294367637030008,0.0,True,DEVELOPMENT_LABEL_COMPLETE,2020-09-28,2020-09-28T20:00:00+00:00,2020-09-29T19:00:00+00:00,1
2020-09-21,2020-09-22,2020-09-22T19:00:00+00:00,2020-09-22T20:00:00+00:00,2026-09-07T01:33:33.997960+00:00,M0,2020-09-11_M0,True,FORECAST_AVAILABLE,-0.002693269176028602,-0.002693269176028602,0.08639928837805676,0.08639928837805676,-2.331733582708463,0.0885286783042394,False,False,,,,0.0085227054135863,0.0258522678320566,0.0,True,DEVELOPMENT_LABEL_COMPLETE,2020-09-29,2020-09-29T20:00:00+00:00,2020-09-30T19:00:00+00:00,1
2020-09-22,2020-09-23,2020-09-23T19:00:00+00:00,2020-09-23T20:00:00+00:00,2026-09-07T01:33:34.000126+00:00,M0,2020-09-11_M0,True,FORECAST_AVAILABLE,-0.002693269176028602,-0.002693269176028602,0.08639928837805676,0.08639928837805676,-2.331733582708463,0.0885286783042394,False,False,,,,0.0352872281180003,0.0,0.0,True,DEVELOPMENT_LABEL_COMPLETE,2020-09-30,2020-09-30T20:00:00+00:00,2020-10-01T19:00:00+00:00,1
2020-09-23,2020-09-24,2020-09-24T19:00:00+00:00,2020-09-24T20:00:00+00:00,2026-09-07T01:33:34.002515+00:00,M0,2020-09-11_M0,True,FORECAST_AVAILABLE,-0.002693269176028602,-0.002693269176028602,0.08639928837805676,0.08639928837805676,-2.331733582708463,0.0885286783042394,False,False,,,,0.0213749769294548,0.0,0.0,True,DEVELOPMENT_LABEL_COMPLETE,2020-10-01,2020-10-01T20:00:00+00:00,2020-10-02T19:00:00+00:00,1
2020-09-24,2020-09-25,2020-09-25T19:00:00+00:00,2020-09-25T20:00:00+00:00,2026-09-07T01:33:34.004656+00:00,M0,2020-09-11_M0,True,FORECAST_AVAILABLE,-0.002693269176028602,-0.002693269176028602,0.08639928837805676,0.08639928837805676,-2.331733582708463,0.0885286783042394,False,False,,,,-0.0054193506549889,0.0054193506549889,0.0,True,DEVELOPMENT_LABEL_COMPLETE,2020-10-02,2020-10-02T20:00:00+00:00,2020-10-05T19:00:00+00:00,1
2020-09-25,2020-09-28,2020-09-28T19:00:00+00:00,2020-09-28T20:00:00+00:00,2026-09-07T01:33:34.006790+00:00,M0,2020-09-11_M0,True,FORECAST_AVAILABLE,-0.002693269176028602,-0.002693269176028602,0.08639928837805676,0.08639928837805676,-2.331733582708463,0.0885286783042394,False,False,,,,0.007403250117824,0.0071184512415527,0.0,True,DEVELOPMENT_LABEL_COMPLETE,2020-10-05,2020-10-05T20:00:00+00:00,2020-10-06T19:00:00+00:00,1
2020-09-28,2020-09-29,2020-09-29T19:00:00+00:00,2020-09-29T20:00:00+00:00,2026-09-07T01:33:34.009160+00:00,M0,2020-09-11_M0,True,FORECAST_AVAILABLE,-0.002693269176028602,-0.002693269176028602,0.08639928837805676,0.08639928837805676,-2.331733582708463,0.0885286783042394,False,False,,,,-0.0098591119470733,0.0177465089609926,0.0,True,DEVELOPMENT_LABEL_COMPLETE,2020-10-06,2020-10-06T20:00:00+00:00,2020-10-07T19:00:00+00:00,1
2020-09-29,2020-09-30,2020-09-30T19:00:00+00:00,2020-09-30T20:00:00+00:00,2026-09-07T01:33:34.011780+00:00,M0,2020-09-11_M0,True,FORECAST_AVAILABLE,-0.002693269176028602,-0.002693269176028602,0.08639928837805676,0.08639928837805676,-2.331733582708463,0.0885286783042394,False,False,,,,0.0061972174845947,0.0177465089609926,0.0,True,DEVELOPMENT_LABEL_COMPLETE,2020-10-07,2020-10-07T20:00:00+00:00,2020-10-08T19:00:00+00:00,1
2021-01-27,2021-01-28,2021-01-28T20:00:00+00:00,2021-01-28T21:00:00+00:00,2026-09-07T01:33:35.017254+00:00,M1,2021-01-04_M1,True,FORECAST_AVAILABLE,-0.02122138307645002,-0.02122138307645002,0.17262758551119778,0.17262758551119778,-0.1317262632525722,0.4671159702233827,False,False,0.0,,0.0,0.0971241985099706,0.0230602896023731,0.0,True,DEVELOPMENT_LABEL_COMPLETE,2021-02-04,2021-02-04T21:00:00+00:00,2021-02-05T20:00:00+00:00,1
2020-10-28,2020-10-29,2020-10-29T19:00:00+00:00,2020-10-29T20:00:00+00:00,2026-09-07T01:33:34.124706+00:00,M1,2020-10-01_M1,True,FORECAST_AVAILABLE,-0.037644625484912944,-0.037644625484912944,0.16735108891622197,0.16735108891622197,-0.4789739777761106,0.38249443469059186,False,False,0.0,,0.0,0.0736964358973109,0.0174774907316082,0.0,True,DEVELOPMENT_LABEL_COMPLETE,2020-11-05,2020-11-05T21:00:00+00:00,2020-11-06T20:00:00+00:00,2
2020-10-29,2020-10-30,2020-10-30T19:00:00+00:00,2020-10-30T20:00:00+00:00,2026-09-07T01:33:34.126998+00:00,M1,2020-10-01_M1,True,FORECAST_AVAILABLE,-0.03453411618500586,-0.03453411618500586,0.14974784414327835,0.14974784414327835,-0.7335563576966662,0.32441479488345654,False,False,0.0,,0.0,0.1304477197033247,0.0,0.0,True,DEVELOPMENT_LABEL_COMPLETE,2020-11-06,2020-11-06T21:00:00+00:00,2020-11-09T20:00:00+00:00,3
2020-10-30,2020-11-02,2020-11-02T20:00:00+00:00,2020-11-02T21:00:00+00:00,2026-09-07T01:33:34.197534+00:00,M1,2020-11-02_M1,True,FORECAST_AVAILABLE,-0.033419734075239585,-0.033419734075239585,0.142995977745691,0.142995977745691,-0.7910290859864508,0.3119477474231265,False,False,0.0,,0.0,0.1286258204588704,0.0,0.0,True,DEVELOPMENT_LABEL_COMPLETE,2020-11-09,2020-11-09T21:00:00+00:00,2020-11-10T20:00:00+00:00,4
2020-11-02,2020-11-03,2020-11-03T20:00:00+00:00,2020-11-03T21:00:00+00:00,2026-09-07T01:33:34.199863+00:00,M1,2020-11-02_M1,True,FORECAST_AVAILABLE,-0.03614435602851525,-0.03614435602851525,0.15301388442515662,0.15301388442515662,-0.9052217743908999,0.28797860429154554,False,False,0.0,,0.0,0.1167237455971492,0.0,0.0,True,DEVELOPMENT_LABEL_COMPLETE,2020-11-10,2020-11-10T21:00:00+00:00,2020-11-11T20:00:00+00:00,5
2020-11-03,2020-11-04,2020-11-04T20:00:00+00:00,2020-11-04T21:00:00+00:00,2026-09-07T01:33:34.202108+00:00,M1,2020-11-02_M1,True,FORECAST_AVAILABLE,-0.03735038282213481,-0.03735038282213481,0.156062253390707,0.156062253390707,-0.9324813076786698,0.28242158223328234,False,False,0.0,,0.0,0.0829227888171537,0.0,0.0,True,DEVELOPMENT_LABEL_COMPLETE,2020-11-11,2020-11-11T21:00:00+00:00,2020-11-12T20:00:00+00:00,6
2020-10-27,2020-10-28,2020-10-28T19:00:00+00:00,2020-10-28T20:00:00+00:00,2026-09-07T01:33:34.122450+00:00,M1,2020-10-01_M1,True,FORECAST_AVAILABLE,-0.03156518187955808,-0.03156518187955808,0.14757279777950452,0.14757279777950452,-1.0847981676821954,0.25259908236264894,False,False,0.0,,0.0,0.1049289764960663,0.0,0.0,True,DEVELOPMENT_LABEL_COMPLETE,2020-11-04,2020-11-04T21:00:00+00:00,2020-11-05T20:00:00+00:00,7
2020-10-26,2020-10-27,2020-10-27T19:00:00+00:00,2020-10-27T20:00:00+00:00,2026-09-07T01:33:34.120221+00:00,M1,2020-10-01_M1,True,FORECAST_AVAILABLE,-0.03061280410118704,-0.03061280410118704,0.15011865697918808,0.15011865697918808,-1.1456862697125956,0.24127788531456598,False,False,0.0,,0.0,-0.0165590832136086,0.0718496013625418,0.0,True,DEVELOPMENT_LABEL_COMPLETE,2020-11-03,2020-11-03T21:00:00+00:00,2020-11-04T20:00:00+00:00,8
2021-01-29,2021-02-01,2021-02-01T20:00:00+00:00,2021-02-01T21:00:00+00:00,2026-09-07T01:33:35.096369+00:00,M1,2021-02-01_M1,True,FORECAST_AVAILABLE,-0.00829293469679979,-0.00829293469679979,0.1423302863060657,0.1423302863060657,-1.3609785333280184,0.20408131100600152,False,False,0.0,,0.0,0.0989456523745639,0.0,0.0,True,DEVELOPMENT_LABEL_COMPLETE,2021-02-08,2021-02-08T21:00:00+00:00,2021-02-09T20:00:00+00:00,9
