event_id,interval_start,interval_end,positive_rows,first_information,last_information,last_entry
1,2020-10-21,2020-10-30,3,2020-10-20,2020-10-22,2020-10-23
2,2021-01-20,2021-02-02,5,2021-01-19,2021-01-25,2021-01-26
3,2021-05-05,2021-05-17,4,2021-05-04,2021-05-07,2021-05-10
4,2021-11-18,2021-12-06,6,2021-11-17,2021-11-26,2021-11-29
5,2022-01-13,2022-01-24,2,2022-01-12,2022-01-13,2022-01-14
6,2022-02-09,2022-02-16,1,2022-02-08,2022-02-08,2022-02-09
7,2022-04-19,2022-04-28,3,2022-04-18,2022-04-20,2022-04-21
8,2022-05-04,2022-05-11,1,2022-05-03,2022-05-03,2022-05-04
9,2022-06-06,2022-06-15,3,2022-06-03,2022-06-07,2022-06-08
10,2023-03-03,2023-03-15,4,2023-03-02,2023-03-07,2023-03-08
11,2023-09-19,2023-09-26,1,2023-09-18,2023-09-18,2023-09-19
