event_id,as_of_session,decision_session,label_end_session,R5,L5,Y10
1,2020-10-20,2020-10-21,2020-10-28,-0.1062162244642103,0.1062162244642103,1.0
1,2020-10-21,2020-10-22,2020-10-29,-0.0825760686555832,0.1162479606354213,1.0
1,2020-10-22,2020-10-23,2020-10-30,-0.0981283912810302,0.1157754453046892,1.0
2,2021-01-19,2021-01-20,2021-01-27,-0.1242802367382067,0.1242802367382067,1.0
2,2021-01-20,2021-01-21,2021-01-28,-0.1188142721287998,0.1274205497905974,1.0
2,2021-01-21,2021-01-22,2021-01-29,-0.1341669105694264,0.1341669105694263,1.0
2,2021-01-22,2021-01-25,2021-02-01,-0.0916011647941675,0.1156680441545574,1.0
2,2021-01-25,2021-01-26,2021-02-02,-0.0546568525474557,0.1174019854190673,1.0
3,2021-05-04,2021-05-05,2021-05-12,-0.1139793806373967,0.1139793806373968,1.0
3,2021-05-05,2021-05-06,2021-05-13,-0.0766033035791481,0.116785460657537,1.0
3,2021-05-06,2021-05-07,2021-05-14,-0.0477198284391876,0.1414277874961904,1.0
3,2021-05-07,2021-05-10,2021-05-17,-0.0413060280845454,0.1223446341863654,1.0
4,2021-11-17,2021-11-18,2021-11-26,-0.1250801661436446,0.1250801661436446,1.0
4,2021-11-18,2021-11-19,2021-11-29,-0.0575620714039728,0.1202837637763805,1.0
4,2021-11-19,2021-11-22,2021-11-30,-0.1234306747678651,0.1234306747678652,1.0
4,2021-11-22,2021-11-23,2021-12-01,-0.1661300687744733,0.1661300687744733,1.0
4,2021-11-23,2021-11-24,2021-12-02,-0.1470588324965613,0.1719949152818318,1.0
4,2021-11-26,2021-11-29,2021-12-06,-0.0913601382871793,0.1262617788158279,1.0
5,2022-01-12,2022-01-13,2022-01-21,-0.1083565669127397,0.1083565669127397,1.0
5,2022-01-13,2022-01-14,2022-01-24,-0.1266938501474807,0.1266938501474806,1.0
6,2022-02-08,2022-02-09,2022-02-16,-0.0570131086755044,0.1115034873108386,1.0
7,2022-04-18,2022-04-19,2022-04-26,-0.1259405019299689,0.125940501929969,1.0
7,2022-04-19,2022-04-20,2022-04-27,-0.1432619085834537,0.1432619085834537,1.0
7,2022-04-20,2022-04-21,2022-04-28,-0.0873643570593195,0.1101710130852469,1.0
8,2022-05-03,2022-05-04,2022-05-11,-0.1027477039848083,0.1193885825698157,1.0
9,2022-06-03,2022-06-06,2022-06-13,-0.1087042258853731,0.1087042258853731,1.0
9,2022-06-06,2022-06-07,2022-06-14,-0.1034818072478948,0.1196265618387951,1.0
9,2022-06-07,2022-06-08,2022-06-15,-0.0805668384082778,0.1213356669318166,1.0
10,2023-03-02,2023-03-03,2023-03-10,-0.1005729523467694,0.1005729523467694,1.0
10,2023-03-03,2023-03-06,2023-03-13,-0.1215023570867062,0.1215023570867061,1.0
10,2023-03-06,2023-03-07,2023-03-14,-0.0847328638178976,0.1116658747518628,1.0
10,2023-03-07,2023-03-08,2023-03-15,-0.1268007328981466,0.1268007328981466,1.0
11,2023-09-18,2023-09-19,2023-09-26,-0.1011526360490403,0.1011526360490403,1.0
