as_of_session,decision_session,simulation_decision_at,execution_at,computed_at_utc,model,fit_id,forecast_available,forecast_status,mu5_raw,mu5,q90_raw,q90,p10_logit,p10,mu_projected,q_projected,outside_feature_count,outside_feature_ids,max_outside_distance_training_sd,R5,L5,Y10,score_observed,score_status,label_end_session,label_matures_at,label_available_at,quarter,covered,loss_minus_q90
2021-12-31,2022-01-03,2022-01-03T20:00:00+00:00,2022-01-03T21:00:00+00:00,2026-09-07T01:33:37.588192+00:00,M2,2022-01-03_M2,True,FORECAST_AVAILABLE,0.023356261953998418,0.023356261953998418,0.062307294367475265,0.062307294367475265,-4.299858743967028,0.013388783624384289,False,False,0.0,,0.0,-0.019977625157371,0.0409141982703699,0.0,True,DEVELOPMENT_LABEL_COMPLETE,2022-01-10,2022-01-10T21:00:00+00:00,2022-01-11T20:00:00+00:00,2022Q1,True,-0.021393096097105366
2022-01-03,2022-01-04,2022-01-04T20:00:00+00:00,2022-01-04T21:00:00+00:00,2026-09-07T01:33:37.590716+00:00,M2,2022-01-03_M2,True,FORECAST_AVAILABLE,0.008570566164292354,0.008570566164292354,0.06364605680358305,0.06364605680358305,-4.840877191138628,0.007838198378696534,False,False,0.0,,0.0,-0.0020770261670921,0.0412206714293802,0.0,True,DEVELOPMENT_LABEL_COMPLETE,2022-01-11,2022-01-11T21:00:00+00:00,2022-01-12T20:00:00+00:00,2022Q1,True,-0.022425385374202855
2022-01-04,2022-01-05,2022-01-05T20:00:00+00:00,2022-01-05T21:00:00+00:00,2026-09-07T01:33:37.593273+00:00,M2,2022-01-03_M2,True,FORECAST_AVAILABLE,0.010688932884942956,0.010688932884942956,0.06454209817409394,0.06454209817409394,-4.60801501814121,0.009873141168937206,False,False,0.0,,0.0,0.0432036965924951,0.0028248917045612,0.0,True,DEVELOPMENT_LABEL_COMPLETE,2022-01-12,2022-01-12T21:00:00+00:00,2022-01-13T20:00:00+00:00,2022Q1,True,-0.06171720646953274
2022-01-05,2022-01-06,2022-01-06T20:00:00+00:00,2022-01-06T21:00:00+00:00,2026-09-07T01:33:37.595526+00:00,M2,2022-01-03_M2,True,FORECAST_AVAILABLE,0.03469354123537614,0.03469354123537614,0.06282397937442974,0.06282397937442974,-4.015000705269717,0.01772316381198002,False,False,0.0,,0.0,0.0149975262631518,0.0,0.0,True,DEVELOPMENT_LABEL_COMPLETE,2022-01-13,2022-01-13T21:00:00+00:00,2022-01-14T20:00:00+00:00,2022Q1,True,-0.06282397937442974
2022-01-06,2022-01-07,2022-01-07T20:00:00+00:00,2022-01-07T21:00:00+00:00,2026-09-07T01:33:37.597741+00:00,M2,2022-01-03_M2,True,FORECAST_AVAILABLE,0.03519281827592981,0.03519281827592981,0.059951650371959334,0.059951650371959334,-4.350181112968015,0.012740071267289143,False,False,0.0,,0.0,0.0064081397590736,0.0,0.0,True,DEVELOPMENT_LABEL_COMPLETE,2022-01-14,2022-01-14T21:00:00+00:00,2022-01-18T20:00:00+00:00,2022Q1,True,-0.059951650371959334
2022-01-07,2022-01-10,2022-01-10T20:00:00+00:00,2022-01-10T21:00:00+00:00,2026-09-07T01:33:37.600031+00:00,M2,2022-01-03_M2,True,FORECAST_AVAILABLE,0.03752303480272974,0.03752303480272974,0.058179180566843035,0.058179180566843035,-4.765572757586343,0.008446064445918324,False,False,0.0,,0.0,-0.0376712554596766,0.0376712554596766,0.0,True,DEVELOPMENT_LABEL_COMPLETE,2022-01-18,2022-01-18T21:00:00+00:00,2022-01-19T20:00:00+00:00,2022Q1,True,-0.020507925107166432
2022-01-10,2022-01-11,2022-01-11T20:00:00+00:00,2022-01-11T21:00:00+00:00,2026-09-07T01:33:37.602178+00:00,M2,2022-01-03_M2,True,FORECAST_AVAILABLE,0.03739192584325185,0.03739192584325185,0.059437449304366785,0.059437449304366785,-4.629092716630577,0.00966920704915493,False,False,0.0,,0.0,-0.068523836728023,0.068523836728023,0.0,True,DEVELOPMENT_LABEL_COMPLETE,2022-01-19,2022-01-19T21:00:00+00:00,2022-01-20T20:00:00+00:00,2022Q1,False,0.009086387423656209
2022-01-11,2022-01-12,2022-01-12T20:00:00+00:00,2022-01-12T21:00:00+00:00,2026-09-07T01:33:37.604393+00:00,M2,2022-01-03_M2,True,FORECAST_AVAILABLE,0.03553998858855441,0.03553998858855441,0.06001313688310002,0.06001313688310002,-4.789079640462715,0.00825145830112509,False,False,0.0,,0.0,-0.0925453595343128,0.0925453595343128,0.0,True,DEVELOPMENT_LABEL_COMPLETE,2022-01-20,2022-01-20T21:00:00+00:00,2022-01-21T20:00:00+00:00,2022Q1,False,0.03253222265121278
2022-01-12,2022-01-13,2022-01-13T20:00:00+00:00,2022-01-13T21:00:00+00:00,2026-09-07T01:33:37.606734+00:00,M2,2022-01-03_M2,True,FORECAST_AVAILABLE,0.021662965311768156,0.021662965311768156,0.06211697516654177,0.06211697516654177,-4.627812926771089,0.009681469643523502,False,False,0.0,,0.0,-0.1083565669127397,0.1083565669127397,1.0,True,DEVELOPMENT_LABEL_COMPLETE,2022-01-21,2022-01-21T21:00:00+00:00,2022-01-24T20:00:00+00:00,2022Q1,False,0.04623959174619793
2022-01-13,2022-01-14,2022-01-14T20:00:00+00:00,2022-01-14T21:00:00+00:00,2026-09-07T01:33:37.608914+00:00,M2,2022-01-03_M2,True,FORECAST_AVAILABLE,0.037701204035757274,0.037701204035757274,0.06091594460951477,0.06091594460951477,-4.502930354537515,0.010955146311315308,False,False,0.0,,0.0,-0.1266938501474807,0.1266938501474806,1.0,True,DEVELOPMENT_LABEL_COMPLETE,2022-01-24,2022-01-24T21:00:00+00:00,2022-01-25T20:00:00+00:00,2022Q1,False,0.06577790553796584
2022-01-14,2022-01-18,2022-01-18T20:00:00+00:00,2022-01-18T21:00:00+00:00,2026-09-07T01:33:37.611119+00:00,M2,2022-01-03_M2,True,FORECAST_AVAILABLE,0.031006886436561187,0.031006886436561187,0.059119963124337024,0.059119963124337024,-4.660752296806359,0.00937070279390704,False,False,0.0,,0.0,-0.0942212797278601,0.09422127972786,0.0,True,DEVELOPMENT_LABEL_COMPLETE,2022-01-25,2022-01-25T21:00:00+00:00,2022-01-26T20:00:00+00:00,2022Q1,False,0.035101316603522975
2022-01-18,2022-01-19,2022-01-19T20:00:00+00:00,2022-01-19T21:00:00+00:00,2026-09-07T01:33:37.613438+00:00,M2,2022-01-03_M2,True,FORECAST_AVAILABLE,0.02486186780036404,0.02486186780036404,0.060717260465145834,0.060717260465145834,-4.229982692562524,0.014343900756635032,False,False,0.0,,0.0,-0.0907528145686027,0.0907528145686027,0.0,True,DEVELOPMENT_LABEL_COMPLETE,2022-01-26,2022-01-26T21:00:00+00:00,2022-01-27T20:00:00+00:00,2022Q1,False,0.03003555410345686
2022-01-19,2022-01-20,2022-01-20T20:00:00+00:00,2022-01-20T21:00:00+00:00,2026-09-07T01:33:37.615676+00:00,M2,2022-01-03_M2,True,FORECAST_AVAILABLE,0.036084020346424606,0.036084020346424606,0.06224854924036593,0.06224854924036593,-3.8738000767879965,0.020356268313357812,False,False,0.0,,0.0,-0.0740740939140011,0.0740740939140011,0.0,True,DEVELOPMENT_LABEL_COMPLETE,2022-01-27,2022-01-27T21:00:00+00:00,2022-01-28T20:00:00+00:00,2022Q1,False,0.011825544673635176
