model,method,group,lower,upper,rows,positive_rows,mean_probability,event_rate
M0,equal_width,1,0.0,0.2,826,33,0.07158013193504842,0.039951573849878935
M0,equal_width,2,0.2,0.4,0,0,,
M0,equal_width,3,0.4,0.6,0,0,,
M0,equal_width,4,0.6,0.8,0,0,,
M0,equal_width,5,0.8,1.0,0,0,,
M0,equal_frequency,1,0.05651815181518153,0.06337325349301395,184,5,0.06010893801205106,0.02717391304347826
M0,equal_frequency,2,0.06337325349301395,0.07071269487750556,166,6,0.06693256634298363,0.03614457831325301
M0,equal_frequency,3,0.07071269487750556,0.073187414500684,148,9,0.0721664817759251,0.060810810810810814
M0,equal_frequency,4,0.073187414500684,0.08037578288100208,165,10,0.07592811083586766,0.06060606060606061
M0,equal_frequency,5,0.08037578288100208,0.0885286783042394,163,3,0.08432859374504444,0.018404907975460124
M1,equal_width,1,0.0,0.2,817,33,0.05333737805219868,0.04039167686658507
M1,equal_width,2,0.2,0.4,8,0,0.28590193027565236,0.0
M1,equal_width,3,0.4,0.6,1,0,0.4671159702233827,0.0
M1,equal_width,4,0.6,0.8,0,0,,
M1,equal_width,5,0.8,1.0,0,0,,
M1,equal_frequency,1,0.007603047306887234,0.02816918475574483,166,9,0.021748442605410163,0.05421686746987952
M1,equal_frequency,2,0.02816918475574483,0.03978206161062336,165,11,0.034119650055188314,0.06666666666666667
M1,equal_frequency,3,0.03978206161062336,0.05310287724061717,165,5,0.046133299413747296,0.030303030303030304
M1,equal_frequency,4,0.05310287724061717,0.07644581774030149,165,4,0.06214685169779865,0.024242424242424242
M1,equal_frequency,5,0.07644581774030149,0.4671159702233827,165,4,0.11651370070342841,0.024242424242424242
M2,equal_width,1,0.0,0.2,811,33,0.04292841778822183,0.040690505548705305
M2,equal_width,2,0.2,0.4,14,0,0.2541742245887485,0.0
M2,equal_width,3,0.4,0.6,1,0,0.4235339512784688,0.0
M2,equal_width,4,0.6,0.8,0,0,,
M2,equal_width,5,0.8,1.0,0,0,,
M2,equal_frequency,1,3.892536634992789e-05,0.01703118641483013,166,14,0.00956232263593567,0.08433734939759036
M2,equal_frequency,2,0.01703118641483013,0.028344902092492012,165,4,0.022614677006415715,0.024242424242424242
M2,equal_frequency,3,0.028344902092492012,0.041924897264091744,165,6,0.03550496564518664,0.03636363636363636
M2,equal_frequency,4,0.041924897264091744,0.06493354001311087,165,3,0.05253885033152835,0.01818181818181818
M2,equal_frequency,5,0.06493354001311087,0.4235339512784688,165,6,0.11485407892113313,0.03636363636363636
