selection_id,model,head,chosen,selected_loss,at_strongest_boundary,strictly_better_than_both,numerically_tied_alternatives,nearest_alternative_gap,parameter_1,loss_1,parameter_2,loss_2,parameter_3,loss_3
2020-09-11,M1,mu5,100.0,0.008718449336752535,True,True,0,0.022001934390062927,100.0,0.008718449336752535,10.0,0.030720383726815462,1.0,0.15811761497192373
2020-09-11,M1,p10,0.1,0.7548011585817046,True,True,0,0.4757558562491023,0.1,0.7548011585817046,1.0,1.230557014830807,10.0,2.1093519844446424
2020-09-11,M1,q90,0.01,0.02365046091991761,True,True,0,0.00839812781433109,0.01,0.02365046091991761,0.001,0.0320485887342487,0.0001,0.03329234038983882
2020-09-11,M2,mu5,100.0,0.13037724957083036,True,True,0,0.12184204460813186,100.0,0.13037724957083036,10.0,0.4662697666274088,1.0,0.2522192941789622
2020-09-11,M2,p10,0.1,1.162286794955967,True,True,0,0.7075084565346312,0.1,1.162286794955967,1.0,1.8697952514905982,10.0,3.1525653663131794
2020-09-11,M2,q90,0.01,0.02000300259961593,True,True,0,0.005851251595613959,0.01,0.02000300259961593,0.001,0.029948769227280857,0.0001,0.025854254195229888
2021-01-04,M1,mu5,100.0,0.009793432588218179,True,True,0,0.008129112891391904,100.0,0.009793432588218179,10.0,0.017922545479610082,1.0,0.02183042902032211
2021-01-04,M1,p10,0.1,0.2675715798993339,True,True,0,0.04442153660543008,0.1,0.2675715798993339,1.0,0.31199311650476397,10.0,0.47575519297027435
2021-01-04,M1,q90,0.01,0.01015021991339043,True,True,0,0.005230631997117563,0.01,0.01015021991339043,0.001,0.015380851910507993,0.0001,0.01569775357018338
2021-01-04,M2,mu5,100.0,0.027920642187156244,True,True,0,0.045783342355301085,100.0,0.027920642187156244,10.0,0.07370398454245733,1.0,0.23813070183901588
2021-01-04,M2,p10,0.1,0.3573616193911814,True,True,0,0.28602909848382985,0.1,0.3573616193911814,1.0,0.6433907178750112,10.0,1.0565074141119626
2021-01-04,M2,q90,0.01,0.011488689158155947,True,True,0,0.005219172953939158,0.01,0.011488689158155947,0.001,0.016707862112095104,0.0001,0.0173229265227593
2022-01-03,M1,mu5,100.0,0.002007671087892286,True,True,0,4.688645125834178e-05,100.0,0.002007671087892286,10.0,0.0020545575391506276,1.0,0.0022118574315064324
2022-01-03,M1,p10,0.1,0.20019313966346666,True,True,0,0.0062382073151805995,0.1,0.20019313966346666,1.0,0.20643134697864726,10.0,0.21766951445382768
2022-01-03,M1,q90,0.01,0.008951074698215288,True,True,0,0.0004928557499944523,0.01,0.008951074698215288,0.001,0.00944393044820974,0.0001,0.00975086469287368
2022-01-03,M2,mu5,100.0,0.001956749848500205,True,True,0,0.0005056454169752572,100.0,0.001956749848500205,10.0,0.002462395265475462,1.0,0.0026350273696554983
2022-01-03,M2,p10,0.1,0.21621404875962588,True,True,0,0.10002500331887296,0.1,0.21621404875962588,1.0,0.31623905207849884,10.0,0.45910855596927286
2022-01-03,M2,q90,0.01,0.008155292007752227,True,True,0,0.0016649550701787058,0.01,0.008155292007752227,0.001,0.009820247077930933,0.0001,0.010738363506441905
2023-01-03,M1,mu5,100.0,0.001746367156283895,True,True,0,3.374052898234771e-05,100.0,0.001746367156283895,10.0,0.0017801076852662428,1.0,0.0018221437480328215
2023-01-03,M1,p10,0.1,0.2115027179532568,True,True,0,0.029897047245343283,0.1,0.2115027179532568,1.0,0.2413997651986001,10.0,0.2553634749730603
2023-01-03,M1,q90,0.01,0.008382694914670445,True,True,0,0.0007747839852344385,0.01,0.008382694914670445,0.001,0.009157478899904883,0.0001,0.009272795193434373
2023-01-03,M2,mu5,100.0,0.0019167135570122018,True,True,0,0.0001934251423876363,100.0,0.0019167135570122018,10.0,0.0021367400723957784,1.0,0.002110138699399838
2023-01-03,M2,p10,0.1,0.22705657555581868,True,True,0,0.08073107456560555,0.1,0.22705657555581868,1.0,0.3077876501214242,10.0,0.39335397599737265
2023-01-03,M2,q90,0.01,0.007310224761707315,True,True,0,0.0015277013773212994,0.01,0.007310224761707315,0.001,0.008837926139028614,0.0001,0.009337592486261044
